name,Entry_point_address,Size_of_program_headers,Size_of_section_headers,Start_of_program_headers,Start_of_section_headers,size_text_section,total_size_file,total_size_memory,n_seg_diff_size_in_file_and_memory,n_p_type_header_as_int_type,total_p_flags,total_STT_NOTYPE_symbol,total_STT_FUNC_symbol,total_STT_OBJECT_symbol,n_sec_not_in_memory,total_global_symbols,total_local_symbols,total_weak_symbols,category
swig,130624,56,64,64,1844576,1374437,1871021,1883593,1,0,59,3,0,0,0,139,1,20,0
systemd,271744,56,64,64,1614456,804594,1864940,1865260,1,0,43,3,0,0,0,1394,1,4,0
systemd-umount,25440,56,64,64,49760,19461,49441,49633,1,0,59,4,0,0,0,114,1,5,0
unlzma,13584,56,64,64,74360,36978,79020,97596,1,0,44,3,0,0,0,115,1,6,0
x86_64,11872,56,64,64,25304,3810,16541,17021,1,0,59,4,0,0,0,34,1,5,0
x86_64-linux-gnu-gold,252400,56,64,64,2339272,1557653,2460625,2505081,1,0,59,3,0,0,0,189,1,14,0
x86_64-linux-gnu-ld,68608,56,64,64,1746760,288245,1774481,1781497,1,0,59,3,0,0,0,257,1,4,0
reboot,39792,56,64,64,180560,97394,189892,190156,1,0,43,3,0,0,0,298,1,6,0
runlevel,39792,56,64,64,180560,97394,189892,190156,1,0,43,3,0,0,0,298,1,6,0
telinit,39792,56,64,64,180560,97394,189892,190156,1,0,43,3,0,0,0,298,1,6,0
xtables-monitor,41376,56,64,64,226664,119333,232297,658865,1,0,59,4,0,0,0,279,1,4,0
rcp,15552,56,64,64,98704,60130,103092,103644,1,0,43,3,0,0,0,165,1,5,0
reset,11984,56,64,64,29120,8197,22657,23081,1,0,59,4,0,0,0,62,1,5,0
rlogin,58352,56,64,64,726056,407938,743068,758876,1,0,43,3,0,0,0,453,1,7,0
rsh,58352,56,64,64,726056,407938,743068,758876,1,0,43,3,0,0,0,453,1,7,0
snice,14000,56,64,64,29032,8434,26081,27365,1,0,59,3,0,0,0,66,1,6,0
w,6576,56,64,64,16712,6030,17380,17492,1,0,43,3,0,0,0,54,1,6,0
write,5216,56,64,64,12600,2546,11188,11252,1,0,44,3,0,0,0,44,1,4,0
ranlib,14784,56,64,64,66200,30341,63705,64417,1,0,59,3,0,0,0,104,1,4,0
strings,12288,56,64,64,33568,12021,31953,32121,1,0,59,3,0,0,0,75,1,4,0
strip,31952,56,64,64,189032,112885,192261,194457,1,0,59,3,0,0,0,159,1,4,0
systemd-resolve,33104,56,64,64,127512,59397,133785,134057,1,0,59,4,0,0,0,167,1,5,0
unrar,15168,56,64,64,300384,207314,306408,389456,1,0,44,2,0,0,0,128,1,14,0
unxz,16736,56,64,64,78464,36709,81177,99769,1,0,59,3,0,0,0,113,1,5,0
xzcat,16736,56,64,64,78464,36709,81177,99769,1,0,59,3,0,0,0,113,1,5,0
rmmod,13040,56,64,64,147896,92338,155364,155484,1,0,43,3,0,0,0,97,1,5,0
rmt,10976,56,64,64,58000,34674,58596,58828,1,0,43,3,0,0,0,89,1,6,0
shutdown,39792,56,64,64,180560,97394,189892,190156,1,0,43,3,0,0,0,298,1,6,0
vigr,16832,56,64,64,68280,28341,68069,69577,1,0,59,4,0,0,0,131,1,6,0
VirusShare_1fe8fef57b97bcc526ce841725488f6a,33108,32,40,52,54872,49456,54756,97476,1,0,18,3,0,0,0,0,0,0,1
VirusShare_2a8c3c44a2b00aa68614c358b25e380e,134512996,32,40,52,73812,53704,69256,95596,1,0,17,5,0,0,0,0,0,0,1
VirusShare_1e8ab86886873d7c7ed5f63c4aeea4cd,268435952,32,40,52,52048,48912,51968,52660,1,0,17,2,0,0,0,0,0,0,1
VirusShare_1fc4231deea8912b619297a936c770bb,33200,32,40,52,195608,136420,188176,214428,1,0,22,11,0,0,0,0,0,0,1
VirusShare_1f227c95d0e075cf245f4b1f17107e57,2147483972,32,40,52,85996,74472,82814,109026,1,0,17,5,0,0,0,0,0,0,1
VirusShare_2a8a93cbadf7b4cfa9e121b6838cf7c2,134512996,32,40,52,117588,82392,113048,148552,1,0,17,5,0,0,0,0,0,0,1
VirusShare_2a5fe70687a93f14e5cb0dd546d89f18,4194708,56,64,64,91032,70408,87700,115820,1,0,17,5,0,0,0,0,0,0,1
VirusShare_1f2d9a6d82fd145d6695bcf7483e7eb6,134512996,32,40,52,52784,39144,47960,74308,1,0,17,5,0,0,0,0,0,0,1
VirusShare_1f13b21ba255e53948faa3b425009dc5,134512996,32,40,52,34176,30694,34108,35644,1,0,17,2,0,0,0,0,0,0,1
